GenreID,Genres
279,"Biography,Crime,Drama,History"
280,"Documentary,Biography,Music"
281,"Documentary,History"
282,"Animation,Adventure,Comedy,Family,Fantasy,Musical"
283,"Drama,Horror,Sci-Fi,Thriller"
284,Documentary
285,"Documentary,Drama,Mystery"
286,"Animation,Adventure,Comedy,Family,Fantasy"
287,"Comedy,Romance"
288,"Crime,Drama,Thriller"
289,"Action,Drama,Thriller,War"
290,"Animation,Action,Adventure,Drama,Family,Horror,Mystery,Sci-Fi"
291,"Documentary,Sport"
292,"Documentary,Biography,Crime,History,Sport"
293,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi"
294,"Animation,Adventure,Comedy,Drama,Family,Mystery,Sci-Fi,Thriller"
295,"Biography,Crime,Drama,Mystery,Thriller"
296,"Biography,Crime,Drama,Thriller"
297,"Animation,Adventure,Family"
298,"Horror,Thriller"
299,"Action,Sci-Fi"
300,"Horror,Thriller"
301,"Biography,Drama"
302,Comedy
303,"Biography,Crime,Drama,History"
304,"Drama,Fantasy"
305,"Documentary,Biography,Music"
306,"Drama,Romance"
307,"Crime,Drama,Horror,Mystery,Thriller"
308,"Action,Fantasy"
309,"Documentary,Biography"
310,"Comedy,Drama,Music,Mystery"
311,Documentary
312,"Horror,Sci-Fi"
313,"Documentary,Music"
314,"Animation,Adventure,Comedy,Family"
315,"Comedy,Drama,Romance"
316,Thriller
317,"Drama,Romance"
318,Documentary
319,"Action,Crime,Drama"
320,"Action,Crime,Drama,Mystery,Thriller"
321,"Comedy,Drama"
322,"Action,Adventure,Drama,Family,Fantasy"
323,"Adventure,Comedy,Family,Fantasy"
324,"Animation,Adventure,Comedy,Family,Sci-Fi,Sport"
325,"Comedy,Drama,Family,Romance"
326,"Crime,Drama,History,Thriller"
327,"Comedy,Music"
328,"Drama,Mystery,Thriller"
329,"Action,Adventure,Crime,Drama,Thriller"
330,"Documentary,Biography,History,War"
331,"Comedy,Drama"
332,"Action,Comedy,Crime,Thriller"
333,Comedy
334,Documentary
335,"Action,Comedy,Crime"
336,Documentary
337,"Documentary,Biography,Sport"
338,"Horror,Mystery"
339,Documentary
340,"Horror,Thriller"
341,"Action,Adventure,Comedy"
342,"Documentary,Sport"
343,"Action,Drama,Thriller"
344,"Drama,Music"
345,"Action,Fantasy,Thriller"
346,"Drama,Horror,Sci-Fi,Thriller"
347,"Drama,History"
348,"Horror,Thriller"
349,"Animation,Adventure,Family,Fantasy"
350,"Drama,Thriller"
351,"Biography,Drama,History,War"
352,"Drama,Romance"
353,"Comedy,Music"
354,"Horror,Thriller"
355,"Biography,Crime,Drama,Mystery,Thriller"
356,Documentary
357,Documentary
358,"Action,Biography,Drama,History,War"
359,"Crime,Drama,History,Thriller"
360,"Biography,Drama,Romance"
361,Drama
362,"Documentary,Biography"
363,"Comedy,Drama,Romance"
364,"Action,Adventure,Thriller"
365,Comedy
366,Drama
367,"Comedy,Drama"
368,"Biography,Drama,Sport"
369,Drama
370,"Comedy,Crime"
371,"Comedy,Romance"
372,"Drama,Family,Romance"
373,"Adventure,Family,Fantasy,Musical"
374,"Crime,Drama,Mystery,Thriller"
375,"Action,Drama,History,Romance,War"
376,"Comedy,Drama,Sport"
377,"Comedy,Romance"
378,"Documentary,Drama"
379,"Horror,Mystery,Thriller"
380,"Crime,Drama,Horror,Thriller"
381,"Comedy,Drama,Romance"
382,"Comedy,Drama"
383,"Biography,Crime,Drama,Thriller"
384,"Action,Adventure,Mystery,Sci-Fi,Thriller"
385,"Comedy,Horror"
386,"Biography,Crime,Drama,Thriller"
387,"Action,Biography,History,War"
388,"Comedy,Drama,Fantasy,Romance"
389,"Biography,Drama,History,Romance"
390,"Documentary,Adventure,Biography,History"
391,"Documentary,History"
392,"Animation,Adventure,Comedy,Family,Fantasy"
393,Documentary
394,"Comedy,Family,Fantasy"
395,Documentary
396,"Comedy,Drama"
397,"Biography,Comedy,Drama,Music,Romance"
398,"Action,Biography,Drama,Sport"
399,"Animation,Adventure,Family,Fantasy"
400,"Documentary,Biography"
401,"Comedy,Drama,Romance"
402,"Comedy,Romance"
403,"Drama,War"
404,Drama
405,"Crime,Drama,Thriller"
406,"Mystery,Thriller"
407,"Action,Comedy,Thriller"
408,Documentary
409,"Documentary,Music"
410,"Drama,Horror,Mystery,Thriller"
411,"Drama,History"
412,"Action,Drama,History,Thriller,War"
413,"Action,Adventure,Sci-Fi"
414,"Animation,Adventure,Comedy,Family,Fantasy"
415,"Documentary,Biography"
416,"Drama,Romance"
417,Drama
418,"Crime,Drama,Mystery,Thriller"
419,"Drama,Mystery,Thriller"
420,"Documentary,Sport"
421,"Animation,Adventure,Family,Fantasy"
422,"Action,Adventure,Thriller"
423,"Drama,Romance,War"
424,"Documentary,Short"
425,"Documentary,Biography,Sport"
426,"Animation,Action,Adventure,Comedy,Family,Sci-Fi"
427,"Horror,Mystery,Thriller"
428,"Crime,Drama"
429,Documentary
430,"Action,Fantasy,Sci-Fi,Thriller"
431,"Action,Comedy,Drama,Musical,Romance,Thriller"
432,"Documentary,Adventure,Biography,History"
433,Drama
434,"Comedy,Drama"
435,"Drama,Romance"
436,Drama
437,"Drama,History,War"
438,"Documentary,Music"
439,"Action,Adventure,Comedy,Crime"
440,"Comedy,Drama,Fantasy,Horror,Thriller"
441,"Adventure,Drama,Thriller"
442,"Comedy,Drama,Romance"
443,"Horror,Sci-Fi,Thriller"
444,"Comedy,Drama"
445,Documentary
446,"Drama,Sport"
447,"Crime,Drama,Mystery,Thriller"
448,"Comedy,Drama"
449,"Documentary,Biography,Music"
450,"Horror,Mystery"
451,"Biography,Comedy,Drama,Music"
452,"Comedy,Horror,Sci-Fi"
453,"Drama,Romance,War"
454,"Action,Comedy,Crime,Drama,Thriller"
455,"Action,Thriller"
456,"Comedy,Drama,Mystery"
457,"Action,Adventure,Thriller"
458,"Action,Biography,Drama,Romance,War"
459,"Documentary,Comedy,Music"
460,"Biography,Drama,Music"
461,Documentary
462,"Adventure,Drama"
463,"Biography,Drama,Music"
464,"Action,Adventure,Sci-Fi"
465,"Comedy,Romance"
466,Drama
467,"Comedy,Drama,Romance"
468,"Drama,Fantasy,Horror,Mystery,Thriller"
469,"Mystery,Thriller"
470,"Action,Biography,Crime,Drama"
471,"Biography,Crime,Drama,History,Thriller"
472,"Drama,Romance"
473,"Comedy,Romance"
474,Comedy
475,"Documentary,Biography"
476,"Comedy,Family,Fantasy"
477,"Comedy,Romance"
478,"Drama,War"
479,"Action,Adventure,Sci-Fi"
480,"Horror,Thriller"
481,Comedy
482,Drama
483,"Adventure,Drama"
484,"Drama,Romance"
485,"Crime,Drama,Thriller"
486,"Action,Fantasy"
487,"Crime,Drama,Mystery,Thriller"
488,"Documentary,Comedy"
489,"Biography,Crime,Drama,Sport"
490,"Comedy,Sport"
491,"Animation,Adventure,Comedy,Family"
492,"Adventure,Crime,Drama,Mystery,Thriller"
493,"Biography,Drama,History,Thriller,War"
494,"Comedy,Drama,Romance"
495,Documentary
496,"Comedy,Crime,Drama,Romance"
497,"Biography,Drama"
498,"Animation,Action,Drama,Sci-Fi,Thriller"
499,"Crime,Drama,Mystery,Thriller"
500,"Action,Adventure,Fantasy"
501,"Action,Crime,Drama,Thriller"
502,Drama
503,"Biography,Drama,Family,Sport"
504,"Animation,Action,Adventure,Comedy,Family"
505,"Action,Drama,Thriller"
506,"Drama,Thriller"
507,"Adventure,Comedy,Family,Fantasy"
508,"Documentary,Biography"
509,"Comedy,Crime"
510,"Drama,Horror,Mystery,Thriller"
511,"Action,Drama,War"
512,"Biography,Drama,Family,Romance"
513,"Comedy,Romance"
514,"Action,Drama,History"
515,"Action,Adventure,Drama,History,Thriller"
516,"Action,Drama,Romance,Sci-Fi,Thriller"
517,Drama
518,"Drama,Horror,Thriller"
519,
520,"Action,Drama,Sci-Fi"
521,"Action,Comedy,Crime,Thriller"
522,"Comedy,Drama,Romance"
523,"Drama,History,Thriller"
524,"Documentary,Biography,Music"
525,"Documentary,History"
526,"Drama,Thriller"
527,"Action,Drama"
528,"Action,Drama,Thriller"
529,Drama
530,"Drama,Music"
531,"Biography,Drama"
532,Drama
533,"Adventure,Drama,Fantasy"
534,"Fantasy,Horror"
535,"Animation,Action,Adventure,Comedy,Family,Sci-Fi"
536,"Drama,History,Thriller"
537,"Comedy,Drama,Family"
538,"Comedy,Drama"
539,Documentary
540,
541,"Action,Adventure,Fantasy,Sci-Fi,Thriller"
542,Documentary
543,"Crime,Drama"
544,"Adventure,Drama,Thriller"
545,Documentary
546,"Documentary,Comedy"
547,Documentary
548,"Action,Drama"
549,Documentary
550,"Comedy,Romance"
551,"Comedy,Drama"
552,Comedy
553,"Biography,Drama,History,Romance,Thriller"
554,"Action,Comedy,Crime,Thriller"
555,"Comedy,Drama,Romance"
556,"Comedy,Romance"
557,"Crime,Thriller"
558,"Drama,Romance,Western"
559,"Crime,Drama,Sport,Thriller"
560,Documentary
561,"Documentary,Biography,History,War"
562,"Crime,Drama,Thriller"
563,"Action,Adventure,Fantasy,Horror,Sci-Fi,Thriller"
564,"Action,Thriller"
565,"Comedy,Drama"
566,"Animation,Adventure,Comedy,Family,Fantasy"
567,Documentary
568,"Action,Horror,Sci-Fi,Thriller"
569,"Biography,Thriller"
570,Documentary
571,"Comedy,Fantasy,Romance"
572,Documentary
573,"Adventure,Comedy,Drama"
574,"Crime,Drama,Horror,Thriller"
575,"Documentary,Drama,History,Music"
576,Comedy
577,"Drama,Thriller"
578,"Drama,Music,Musical,Romance"
579,"Comedy,Drama"
580,"Comedy,Drama"
581,"Action,Comedy,Crime,Mystery,Romance"
582,Documentary
583,"Animation,Biography,Drama,History"
584,"Comedy,Drama"
585,"Comedy,Fantasy,Romance"
586,"Drama,Romance,Sport"
587,Drama
588,"Action,Drama,Thriller,War"
589,"Comedy,Drama,Horror,Thriller"
590,"Documentary,History"
591,"Comedy,Drama,Romance"
592,Thriller
593,Documentary
594,Comedy
595,"Drama,Fantasy,Sci-Fi"
596,"Documentary,Short"
597,"Comedy,Drama"
598,"Drama,Fantasy,Horror,Thriller"
599,Drama
600,Documentary
601,"Drama,Music,Romance"
602,"Action,Comedy,Romance"
603,"Comedy,Drama,Romance"
604,"Crime,Drama,Thriller"
605,"Comedy,Drama"
606,"Comedy,Drama,Romance"
607,"Documentary,Crime"
608,"Drama,Family"
609,"Biography,Crime,Drama,Thriller"
610,"Documentary,Biography,Sport"
611,"Comedy,Sci-Fi"
612,"Action,Thriller"
613,"Drama,Family,Sci-Fi"
614,"Biography,Drama"
615,"Action,Crime,Drama,Thriller"
616,"Animation,Adventure,Comedy,Family,Romance"
617,"Biography,Drama"
618,"Adventure,Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller"
619,"Action,Crime,Drama"
620,"Action,Crime,Drama,Sci-Fi"
621,"Action,Biography,Crime,Sport,Thriller"
622,Drama
623,"Animation,Drama,Romance"
624,"Documentary,Comedy"
625,"Documentary,History"
626,"Biography,Drama"
627,Drama
628,"Adventure,Drama,Thriller"
629,"Documentary,Drama"
630,"Drama,Romance"
631,"Biography,Drama,Music,Musical"
632,"Animation,Drama,Romance"
633,"Comedy,Drama,Romance"
634,"Horror,Thriller"
635,"Comedy,Drama"
636,"Biography,Drama,History,War"
637,Drama
638,"Biography,Comedy"
639,"Action,Comedy"
640,"Drama,Romance,War"
641,"Documentary,Short"
642,Drama
643,Drama
644,Comedy
645,"Horror,Thriller"
646,"Crime,Drama,Mystery,Thriller"
647,"Drama,Romance"
648,Comedy
649,"Documentary,Music"
650,"Action,Sci-Fi"
651,"Documentary,Biography,War"
652,"Comedy,Fantasy,Romance"
653,Documentary
654,"Comedy,Drama,Musical,Romance"
655,"Comedy,Crime"
656,"Adventure,Comedy,Sci-Fi"
657,"Animation,Action,Adventure,Family,Fantasy,Sci-Fi"
658,Documentary
659,"Action,Drama,Sci-Fi,Thriller"
660,"Action,Adventure,Comedy,Musical,Mystery"
661,"Comedy,Romance"
662,Drama
663,"Mystery,Thriller"
664,"Action,Comedy,Family,Romance"
665,"Comedy,Romance"
666,"Comedy,Family"
667,"Comedy,Romance"
668,Horror
669,"Documentary,Biography,History,War"
670,"Animation,Drama"
671,Romance
672,"Horror,Mystery,Thriller"
673,Documentary
674,"Drama,Fantasy,Horror,Mystery,Thriller"
675,"Drama,Horror,Sci-Fi,Thriller"
676,"Documentary,Biography,Drama,History,Mystery"
677,"Animation,Adventure,Comedy,Family,Fantasy"
678,"Documentary,Music"
679,Drama
680,"Action,Crime,Thriller"
681,Drama
682,Documentary
683,"Comedy,Family"
684,Drama
685,"Comedy,Drama"
686,Documentary
687,"Crime,Thriller"
688,"Drama,Mystery,Sci-Fi,Thriller"
689,"Drama,History,Thriller"
690,"Action,Mystery,Sci-Fi,Thriller"
691,"Drama,Thriller"
692,"Drama,Mystery,Thriller"
693,"Action,Crime,Thriller"
694,Documentary
695,"Drama,Horror,Mystery,Sci-Fi,Thriller"
696,Comedy
697,"Drama,Fantasy,Horror"
698,"Biography,Drama,History,Romance"
699,"Comedy,Drama"
700,Comedy
701,"Crime,Mystery,Sci-Fi,Thriller"
702,"Adventure,Comedy,Drama,Family,Fantasy"
703,"Comedy,Romance"
704,"Action,Drama"
705,"Crime,Drama,Thriller"
706,Drama
707,"Comedy,Drama"
708,"Animation,Adventure,Comedy,Family,Fantasy,Music"
709,"Action,Drama"
710,"Documentary,Comedy"
711,Comedy
712,"Crime,Drama,Horror,Mystery,Thriller"
713,Comedy
714,"Documentary,Drama"
715,"Comedy,Romance"
716,"Comedy,Crime,Drama,Fantasy,Mystery,Thriller"
717,"Horror,Thriller"
718,Documentary
719,"Comedy,Crime"
720,"Drama,Sport"
721,Documentary
722,"Documentary,Sport"
723,Drama
724,"Comedy,Drama,Romance"
725,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi"
726,"Comedy,Family,Romance,Sport"
727,"Documentary,Short"
728,"Animation,Adventure,Comedy,Family,Fantasy"
729,Comedy
730,"Documentary,Comedy"
731,"Comedy,Crime"
732,"Comedy,Drama,Music,Romance"
733,"Drama,Fantasy,Horror,Mystery,Thriller"
734,"Action,Drama"
735,Documentary
736,"Drama,Horror,Mystery"
737,"Action,Adventure,Comedy,Crime"
738,"Documentary,History"
739,"Comedy,Drama,Romance"
740,"Action,Drama,History,Thriller"
741,"Comedy,Drama,Romance"
742,Documentary
743,"Crime,Drama,Romance"
744,"Drama,Thriller"
745,"Drama,Mystery,Romance,Thriller"
746,"Comedy,Drama,Thriller"
747,"Crime,Drama,Family"
748,"Documentary,Crime"
749,"Comedy,Drama,Romance"
750,"Comedy,Crime,Romance"
751,Documentary
752,"Documentary,Comedy"
753,"Comedy,Music,Musical,Romance"
754,Drama
755,"Action,Sci-Fi,Thriller"
756,"Action,Crime,Thriller"
